湖南卫视,2,北京上海湖南
大连文体,3,2018-09-01-19-35-00,120
山东体育,3,2018-09-01-19-35-00,120
广东体育,3,2018-09-01-19-35-00,120
天津体育,3,2018-09-01-19-35-00,120
CCTV风云足球,3,2018-09-01-19-35-00,120
五星体育,3,2018-09-01-19-35-00,120
CCTV风云足球,3,2018-09-02-19-35-00,120
北京体育,3,2018-09-02-19-35-00,120
广东体育,3,2018-09-02-19-35-00,120
五星体育,3,2018-09-02-19-35-00,120
江苏体育,3,2018-09-02-19-35-00,120
天津体育,3,2018-09-02-19-35-00,120
河南新闻,3,2018-09-02-19-35-00,120
吉林公共,3,2018-09-02-19-35-00,120
